x y2
-1 0
-0.98 0.015158
-0.96 0.0311969
-0.94 0.0481116
-0.92 0.0658935
-0.9 0.0845301
-0.88 0.104006
-0.86 0.1243
-0.84 0.145389
-0.82 0.167246
-0.8 0.189838
-0.78 0.21313
-0.76 0.237084
-0.74 0.261654
-0.72 0.286795
-0.7 0.312455
-0.68 0.338581
-0.66 0.365114
-0.64 0.391993
-0.62 0.419154
-0.6 0.44653
-0.58 0.474051
-0.56 0.501645
-0.54 0.529238
-0.52 0.556755
-0.5 0.584116
-0.48 0.611243
-0.46 0.638057
-0.44 0.664477
-0.42 0.690422
-0.4 0.715813
-0.38 0.740568
-0.36 0.76461
-0.34 0.787861
-0.32 0.810244
-0.3 0.831685
-0.28 0.852113
-0.26 0.871459
-0.24 0.889657
-0.22 0.906644
-0.2 0.922362
-0.18 0.936755
-0.16 0.949774
-0.14 0.961373
-0.12 0.971511
-0.1 0.98015
-0.08 0.987262
-0.06 0.99282
-0.04 0.996804
-0.02 0.9992
0 1
0.02 0.9992
0.04 0.996804
0.06 0.99282
0.08 0.987262
0.1 0.98015
0.12 0.971511
0.14 0.961373
0.16 0.949774
0.18 0.936755
0.2 0.922362
0.22 0.906644
0.24 0.889657
0.26 0.871459
0.28 0.852113
0.3 0.831685
0.32 0.810244
0.34 0.787861
0.36 0.76461
0.38 0.740568
0.4 0.715813
0.42 0.690422
0.44 0.664477
0.46 0.638057
0.48 0.611243
0.5 0.584116
0.52 0.556755
0.54 0.529238
0.56 0.501645
0.58 0.474051
0.6 0.44653
0.62 0.419154
0.64 0.391993
0.66 0.365114
0.68 0.338581
0.7 0.312455
0.72 0.286795
0.74 0.261654
0.76 0.237084
0.78 0.21313
0.8 0.189838
0.82 0.167246
0.84 0.145389
0.86 0.1243
0.88 0.104006
0.9 0.0845301
0.92 0.0658935
0.94 0.0481116
0.96 0.0311969
0.98 0.015158
1 0
